ident,name,latitude_deg,longitude_deg,iso_country,iata_code
03N,Utirik Airport,11.2220001221,169.8520050049,MH,UTK
2Z6,False Island Seaplane Base,57.5321998596,-135.212997437,US,FAK
38WA,Blakely Island Airport,48.5789985657,-122.825996399,US,BYW
3IS8,Rinkenberger Restricted Landing Area,41.2308998108,-89.6156997681,US,BDF
4A2,Atmautluak Airport,60.8666992188,-162.272994995,US,ATT
5A8,Aleknagik / New Airport,59.2826004028,-158.617996216,US,WKK
65LA,Southern Seaplane Airport,29.8661003113,-90.0222015381,US,BCS
6OK6,Earl Henry Airport,36.7958984375,-97.3170013428,US,BWL
7NC2,Pine Island Airport,36.2535018921,-75.7884979248,US,DUF
82CL,Fort Bragg Airport,39.4743003845,-123.79599762,US,FOB
9A3,Chuathbaluk Airport,61.57910156,-159.2160034,US,CHU
ABP,Atkamba Airport,-6.0655555556,141.095277778,PG,ABP
ADC,Andakombe Airport,-7.1372222222,145.744722222,PG,ADC
AEE,Adareil Airport,10.0536111111,32.9594444444,SS,AEE
AEK,Aseki Airport,-7.3508048555,146.19386673,PG,AEK
AF11,Salerno Landing Zone Airport,33.3638000488,69.9561004639,AF,OLR
AFR,Afore Airstrip,-9.1422222222,148.390833333,PG,AFR
AGAF,Afutara Aerodrome,-9.1913888889,160.948611111,SB,AFT
AGAR,Ulawa Airport,-9.8605435826,161.979546547,SB,RNA
AGAT,Uru Harbour Airport,-8.8733301163,161.0110015869,SB,ATD
AGBA,Barakoma Airport,-7.912779808,156.7059936523,SB,VEV
AGEV,Geva Airport,-7.5758299828,156.5970001221,SB,GEF
AGG,Angoram Airport,-4.0558333333,144.073888889,PG,AGG
AGGA,Auki Airport,-8.7025699616,160.682006836,SB,AKS
AGGB,Bellona/Anua Airport,-11.3022222222,159.798333333,SB,BNY
AGGC,Choiseul Bay Airport,-6.711944,156.396111,SB,CHY
AGGE,Ballalae Airport,-6.990745,155.886656,SB,BAS
AGGF,Fera/Maringe Airport,-8.1075000763,159.5769958496,SB,FRE
AGGH,Honiara International Airport,-9.4280004501,160.0549926758,SB,HIR
AGGI,Babanakira Airport,-9.7475004196,159.8390045166,SB,MBU
AGGJ,Avu Avu Airport,-9.8683333333,160.410555556,SB,AVU
AGGK,Ngorangora Airport,-10.4497003555,161.8979949951,SB,IRA
AGGL,Santa Cruz/Graciosa Bay/Luova Airport,-10.7202997208,165.7949981689,SB,SCZ
AGGM,Munda Airport,-8.3279695511,157.2630004883,SB,MUA
AGGN,Nusatupe Airport,-8.0977802277,156.863998413,SB,GZO
AGGO,Mono Airport,-7.4169402122,155.5650024414,SB,MNY
AGGP,Parasi Airport,-9.6416702271,161.4250030518,SB,PRS
AGGR,Rennell/Tingoa Airport,-11.5339002609,160.06300354,SB,RNL
AGGS,Sege Airport,-8.5788898468,157.8760070801,SB,EGM
AGGU,Marau Airport,-9.8616695404,160.824996948,SB,RUS
AGGV,Suavanao Airport,-7.585559845,158.7310028076,SB,VAO
AGGY,Yandina Airport,-9.092816,159.21841,SB,XYA
AGK,Kagua Airport,-6.3963888889,143.853611111,PG,AGK
AGKG,Kagau Island Airport,-7.3330001831,157.5829925537,SB,KGE
AGL,Wanigela Airport,-9.3375,149.155555556,PG,AGL
AGRC,Ringi Cove Airport,-8.1263904572,157.1430053711,SB,RIN
AGRM,Ramata Airport,-8.1680603027,157.6430053711,SB,RBV
AHY,Ambatolhy Airport,-20.0158333333,45.535,MG,AHY
AIE,Aiome Airport,-5.145699978,144.7307003,PG,AIE
AIH,Aiambak Airport,-7.3427777778,141.2675,PG,AIH
AIP,Ailinglaplap Airport,7.2794215918,168.825699985,MH,AIP
AK71,Lonely Air Station,70.91069794,-153.2420044,US,LNI
AK75,Candle 2 Airport,65.907699585,-161.925994873,US,CDL
AK81,Amook Bay Seaplane Base,57.4715003967,-153.815002441,US,AOS
AK96,Bartletts Airport,58.2162017822,-157.352005005,US,BSZ
AK97,Boswell Bay Airport,60.4230995178,-146.145996094,US,BSW
AKM,Zakuoma Airport,10.8902777778,19.8172222222,TD,AKM
ALZ,Alitak Seaplane Base,56.8995018005,-154.248001099,US,ALZ
AME,Alto Molocue Airport,-15.6102777778,37.6813888889,MZ,AME
AMF,AMA Airport,-4.1011111111,141.67,PG,AMF
AMU,Amanab Airport,-3.586,141.214333333,PG,AMU
AMY,Ambatomainty Airport,-17.6866666667,45.6238888889,MG,AMY
ANYN,Nauru International Airport,-0.547458,166.919006,NR,INU
AO-0005,Andulo Airport,-11.4722995758,16.710899353,AO,ANL
AO-CNZ,Cangamba Airport,-13.7105998993,19.8610992432,AO,CNZ
AO-DRC,Dirico Airport,-17.981924057,20.7680606842,AO,DRC
AO-GGC,Lumbala Airport,-12.6398773193,22.5868206024,AO,GGC
AO-JMB,Jamba Airport,-14.6981925964,16.070148468,AO,JMB
AO-KNP,Capanda Airport,-9.769370079,15.4553194046,AO,KNP
AO-NDF,Ndalatandos Airport,-9.275188446,14.9772424698,AO,NDF
AOB,Annanberg Airport,-4.9041666667,144.635833333,PG,AOB
APP,Asapa Airport,-8.9791666667,148.103611111,PG,APP
APR,April River Airport,-4.6766666667,142.540138889,PG,APR
AQY,Girdwood Airport,60.9660987854,-149.12600708,US,AQY
AR-0005,Bragado Airport,-35.144,-60.4803,AR,QRF
AR-0006,Brigadier Hector Ruiz Airport,-37.4333000183,-61.8833007812,AR,CSZ
AR-0007,Caleta Olivia Airport,-46.4318008423,-67.5186004639,AR,CVI
AR-0009,Charata Airport,-27.2164,-61.2103,AR,CNT
AR-0010,General Villegas Airport,-35,-63,AR,VGS
AR-0011,Los Menucos Airport,-40.8176994324,-68.0746994019,AR,LMD
AR-0017,Valcheta Airport,-40.7000007629,-66.1500015259,AR,VCF
AR-0018,Villa Mercedes Airport,-33.6349983215,-65.4187011719,AR,VME
AR-0346,Sunchales Aeroclub Airport,-30.9575,-61.5283,AR,NCJ
AR-0390,Carmen De Patagones Airport,-40.7781,-62.9803,AR,CPG
AR-0462,Termal Airport,-26.753610611,-60.4922218323,AR,PRQ
ARP,Aragip Airport,-9.8833333333,149.483333333,PG,ARP
AS-TAV,Tau Airport,-14.2292003632,-169.511001587,AS,TAV
ASZ,Asirim Airport,-6.0097222222,150.368611111,PG,ASZ
ATN,Namatanai Airport,-3.6666666667,152.441666667,PG,ATN
ATP,Aitape Airport,-3.1436111111,142.346805556,PG,ATP
AU-0056,Milyakburra Airport,-13.7808333333,136.201666667,AU,BCZ
AU-AGW,Agnew Airport,-12.1456003189,142.1490020752,AU,AGW
AU-AYD,Alroy Downs Airport,-19.2908000946,136.078994751,AU,AYD
AU-BCK,Bolwarra Airport,-17.388299942,144.1690063477,AU,BCK
AU-BFC,Bloomfield Airport,-15.8736000061,145.3300018311,AU,BFC
AU-BVW,Batavia Downs Airport,-12.6591997147,142.6750030518,AU,BVW
AU-BYX,Baniyala Airport,-13.19810009,136.227005005,AU,BYX
AU-COB,Coolibah Airport,-15.5482997894,130.9620056152,AU,COB
AU-CQP,Cape Flattery Airport,-14.9709997177,145.3110046387,AU,CQP
AU-CRJ,Coorabie Airport,-31.8943996429,132.296005249,AU,CRJ
AU-CRY,Carlton Hill Airport,-15.5018997192,128.533996582,AU,CRY
AU-CSD,Cresswell Downs Airport,-17.9479999542,135.9160003662,AU,CSD
AU-CTR,Cattle Creek Airport,-17.607000351,131.5489959717,AU,CTR
AU-DYM,Diamantina Lakes Airport,-23.7616996765,141.1450042725,AU,DYM
AU-EDD,Erldunda Airport,-25.2057991028,133.2539978027,AU,EDD
AU-EKD,Elkedra Airport,-21.1725006104,135.4440002441,AU,EKD
AU-HAT,Heathlands Airport,-11.7369003296,142.5769958496,AU,HAT
AU-HIG,Highbury Airport,-16.4244003296,143.1459960938,AU,HIG
AU-HIS,Hayman Island Resort Seaplane Base,-20.0599994659,148.8809967041,AU,HIS
AU-HLV,Helenvale Airport,-15.6857995987,145.2149963379,AU,HLV
AU-KBD,Kimberley Downs Airport,-17.3978004456,124.3550033569,AU,KBD
AU-KGR,Kulgera Airport,-25.8428001404,133.2920074463,AU,KGR
AU-KOH,Koolatah Airport,-15.8886003494,142.4389953613,AU,KOH
AU-KYF,Yeelirrie Airport,-27.2768993378,120.0960006714,AU,KYF
AU-LIB,Limbunya Airport,-17.2355995178,129.8820037842,AU,LIB
AU-MNW,Macdonald Downs Airport,-22.4440002441,135.199005127,AU,MNW
AU-MUP,Mulga Park Airport,-25.8600006104,131.6499938965,AU,MUP
AU-MWY,Miranda Downs Airport,-17.3288993835,141.8860015869,AU,MWY
AU-MYO,Camballin Airport,-18.1247005463,124.2720031738,AU,MYO
AU-NKB,Noonkanbah Airport,-18.4946994781,124.8519973755,AU,NKB
AU-OKB,Orchid Beach Airport,-24.959400177,153.3150024414,AU,OKB
AU-PEP,Peppimenarti Airport,-14.144200325,130.091003418,AU,PEP
AU-RDA,Rockhampton Downs Airport,-18.9533004761,135.2010040283,AU,RDA
AU-SSK,Sturt Creek Airport,-19.1664009094,128.1739959717,AU,SSK
AU-SWB,Shaw River Airport,-21.5102996826,119.3619995117,AU,SWB
AU-TPR,Tom Price Airport,-22.7460002899,117.869003296,AU,TPR
AU-TWP,Torwood Airport,-17.3633003235,143.75,AU,TWP
AU-WRW,Warrawagine Airport,-20.8442001343,120.702003479,AU,WRW
AU-WSY,Whitsunday Airstrip,-20.2670001984,148.75,AU,WSY
AU-ZVG,Springvale Airport,-17.7868995667,127.6699981689,AU,ZVG
AUI,Aua Island Airport,-1.4605555556,143.064722222,PG,AUI
AUJ,Ambunti Airport,-4.2156666667,142.823166667,PG,AUJ
AUP,Agaun Airport,-9.9308333333,149.385666667,PG,AUP
AUV,Aumo Airport,-5.7311111111,148.445277778,PG,AUV
AWE,Alowe Airport,-0.5380555556,9.4502777778,GA,AWE
AYAQ,Kompiam Airport,-5.3816666667,143.924722222,PG,KPM
AYBK,Buka Airport,-5.4223198891,154.6730041504,PG,BUA
AYCH,Chimbu Airport,-6.0242900848,144.970993042,PG,CMU
AYDU,Daru Airport,-9.0867595673,143.207992554,PG,DAU
AYED,Edwaki Airport,-3.883986,141.792234,PG,XYR
AYFR,Frieda River Airport,-4.610468,141.960138,PG,FAQ
AYGA,Goroka Airport,-6.0816898346,145.391998291,PG,GKA
AYGG,Garasa Airport,-7.980713,147.213461,PG,GRL
AYGN,Gurney Airport,-10.3114995956,150.333999634,PG,GUR
AYGP,Gusap Airport,-6.053196,145.959047,PG,GAP
AYGR,Girua Airport,-8.8045396805,148.309005737,PG,PNP
AYHK,Kimbe Airport,-5.4621701241,150.4049987793,PG,HKN
AYKA,Losuia Airport,-8.5058202744,151.0809936523,PG,LSA
AYKI,Kiunga Airport,-6.1257100105,141.2819976807,PG,UNG
AYKK,Kikori Airport,-7.4243798256,144.2500762939,PG,KRI
AYKM,Kerema Airport,-7.9636101723,145.770996094,PG,KMA
AYKV,Kavieng Airport,-2.5794000626,150.807998657,PG,KVG
AYKY,Londolovit Airport,-3.043610096,152.628997803,PG,LNV
AYMD,Madang Airport,-5.2070798874,145.789001465,PG,MAG
AYMH,Mount Hagen Kagamuga Airport,-5.826789856,144.296005249,PG,HGU
AYMN,Mendi Airport,-6.1477398872,143.6569976807,PG,MDU
AYMO,Momote Airport,-2.0618898869,147.4239959717,PG,MAS
AYMR,Moro Airport,-6.3633298874,143.238006592,PG,MXH
AYMS,Misima Island Airport,-10.6892004013,152.837997437,PG,MIS
AYNZ,Lae Nadzab Airport,-6.5698299408,146.725997925,PG,LAE
AYPY,Port Moresby Jacksons International Airport,-9.4433803558,147.2200012207,PG,POM
AYRG,Rumginae Airport,-5.8972222222,141.271666667,PG,RMN
AYSA,Suabi Airport,-6.1044444444,142.278333333,PG,SBE
AYSE,Simberi Airport,-2.6622222222,151.997777778,PG,NIS
AYSG,Sila Airport,-9.0735555556,148.38925,PG,SIL
AYSJ,Simbai Airport,-5.2786111111,144.544722222,PG,SIM
AYTA,Tari Airport,-5.8449997902,142.947998047,PG,TIZ
AYTB,Tabubil Airport,-5.2786102295,141.2259979248,PG,TBG
AYTI,Tapini Airport,-8.3566666667,146.989166667,PG,TPI
AYTK,Tokua Airport,-4.3404598236,152.380004883,PG,RAB
AYTN,Tekin Airport,-5.2436666667,142.165194444,PG,TKW
AYU,Aiyura Airport,-6.3380555556,145.904166667,PG,AYU
AYVN,Vanimo Airport,-2.6971700191,141.3020019531,PG,VAI
AYWB,Wabo Airport,-6.9894444444,145.075111111,PG,WAO
AYWD,Wapenamanda Airport,-5.6433000565,143.8950042725,PG,WBM
AYWK,Wewak International Airport,-3.5838301182,143.669006348,PG,WWK
AYWO,Wonenara Airport,-6.7968611111,145.891944444,PG,WOA
AYWS,Wasu Airport,-5.9617094492,147.19822526,PG,WSU
AYWT,Woitape Airport,-8.5458333333,147.2525,PG,WTP
AYWU,Wau Airport,-7.3455555556,146.718611111,PG,WUG
AYY,Arugam Bay SPB,6.86,81.8238888889,LK,AYY
AZB,Amazon Bay Airport,-10.2991666667,149.338333333,PG,AZB
BAJ,Bali Airport,-4.8833333333,149.133333333,PG,BAJ
BBG,Branson Airport,36.532082,-93.200544,US,BKG
BCP,Bambu Airport,-5.8636111111,146.4925,PG,BCP
BCW,Benguera Island Airport,-21.8533000946,35.4383010864,MZ,BCW
BDZ,Baindoung Airport,-6.3472222222,146.942222222,PG,BDZ
BG-HKV,Haskovo Airport,41.871799469,25.6047992706,BG,HKV
BG-JAM,Bezmer Air Base,42.4548988342,26.3521995544,BG,JAM
BGAA,Aasiaat Airport,68.7218017578,-52.7846984863,GL,JEG
BGBW,Narsarsuaq Airport,61.1604995728,-45.4259986877,GL,UAK
BGCO,Neerlerit Inaat Airport,70.7431030273,-22.6504993439,GL,CNP
BGGH,Godthaab / Nuuk Airport,64.19090271,-51.6781005859,GL,GOH
BGJN,Ilulissat Airport,69.2432022095,-51.0570983887,GL,JAV
BGKK,Kulusuk Airport,65.573600769,-37.1236000061,GL,KUS
BGMQ,Maniitsoq Airport,65.4124984741,-52.9393997192,GL,JSU
BGPT,Paamiut Airport,62.0147361755,-49.6709365845,GL,JFR
BGQQ,Qaanaaq Airport,77.4886016846,-69.3887023926,GL,NAQ
BGSF,Kangerlussuaq Airport,67.0122218992,-50.7116031647,GL,SFJ
BGSS,Sisimiut Airport,66.9513015747,-53.7293014526,GL,JHS
